Category: All categories

Week,PK376: (Worldwide),YSL52: (Worldwide)
2012-01-29,0,0
2012-02-05,0,0
2012-02-12,0,0
2012-02-19,25,0
2012-02-26,25,0
2012-03-04,25,0
2012-03-11,25,0
2012-03-18,25,0
2012-03-25,25,0
2012-04-01,0,0
2012-04-08,0,0
2012-04-15,0,0
2012-04-22,0,0
2012-04-29,0,0
2012-05-06,0,0
2012-05-13,0,0
2012-05-20,0,0
2012-05-27,0,0
2012-06-03,0,0
2012-06-10,0,0
2012-06-17,0,0
2012-06-24,0,0
2012-07-01,0,0
2012-07-08,0,0
2012-07-15,0,0
2012-07-22,0,0
2012-07-29,0,0
2012-08-05,0,0
2012-08-12,0,0
2012-08-19,0,0
2012-08-26,0,0
2012-09-02,0,0
2012-09-09,0,0
2012-09-16,0,0
2012-09-23,0,0
2012-09-30,0,0
2012-10-07,0,0
2012-10-14,0,0
2012-10-21,0,0
2012-10-28,0,0
2012-11-04,0,0
2012-11-11,0,0
2012-11-18,0,0
2012-11-25,21,21
2012-12-02,22,0
2012-12-09,22,0
2012-12-16,23,0
2012-12-23,24,0
2012-12-30,22,0
2013-01-06,40,0
2013-01-13,50,0
2013-01-20,90,0
2013-01-27,69,0
2013-02-03,60,0
2013-02-10,20,0
2013-02-17,39,0
2013-02-24,29,0
2013-03-03,29,0
2013-03-10,78,0
2013-03-17,29,0
2013-03-24,20,0
2013-03-31,19,0
2013-04-07,19,0
2013-04-14,20,0
2013-04-21,20,0
2013-04-28,20,0
2013-05-05,20,0
2013-05-12,19,0
2013-05-19,38,0
2013-05-26,38,0
2013-06-02,19,0
2013-06-09,19,0
2013-06-16,19,0
2013-06-23,20,0
2013-06-30,20,0
2013-07-07,59,0
2013-07-14,20,0
2013-07-21,20,0
2013-07-28,20,0
2013-08-04,20,0
2013-08-11,20,0
2013-08-18,19,0
2013-08-25,29,0
2013-09-01,38,0
2013-09-08,18,0
2013-09-15,37,0
2013-09-22,18,0
2013-09-29,18,0
2013-10-06,18,0
2013-10-13,19,0
2013-10-20,36,0
2013-10-27,18,0
2013-11-03,18,0
2013-11-10,18,0
2013-11-17,18,0
2013-11-24,18,0
2013-12-01,18,0
2013-12-08,18,0
2013-12-15,19,0
2013-12-22,20,0
2013-12-29,39,0
2014-01-05,17,17
2014-01-12,17,25
2014-01-19,17,34
2014-01-26,17,34
2014-02-02,18,44
2014-02-09,17,100
2014-02-16,17,34
2014-02-23,17,25
2014-03-02,17,42
2014-03-09,17,34
2014-03-16,17,33
2014-03-23,17,50
2014-03-30,33,17
2014-04-06,34,34
2014-04-13,35,35
2014-04-20,17,17
2014-04-27,17,17
2014-05-04,17,17
2014-05-11,17,17
2014-05-18,27,22
2014-05-25,19,27
2014-06-01,19,32
2014-06-08,19,38
2014-06-15,19,38
2014-06-22,19,19
2014-06-29,19,19
2014-07-06,19,19
2014-07-13,19,19
2014-07-20,19,19
2014-07-27,19,19
2014-08-03,28,19
2014-08-10,38,19
2014-08-17,18,19
2014-08-24,18,27
2014-08-31,18,36
2014-09-07,18,27
2014-09-14,18,36
2014-09-21,18,18
2014-09-28,18,18
2014-10-05,27,18
2014-10-12,17,17
2014-10-19,17,17
2014-10-26,17,35
2014-11-02,17,34
2014-11-09,17,34
2014-11-16,17,34
2014-11-23,17,17
2014-11-30,17,17
2014-12-07,17,17
2014-12-14,18,17
2014-12-21,18,29
2014-12-28,19,16
2015-01-04,17,16
2015-01-11,17,33
2015-01-18,16,32
2015-01-25,16,16
2015-02-01,16,16
2015-02-08,16,16
2015-02-15,16,16
2015-02-22,16,16
2015-03-01,16,24
2015-03-08,16,16
2015-03-15,16,48
2015-03-22,17,16
2015-03-29,17,16
2015-04-05,16,16
2015-04-12,16,16
2015-04-19,16,32
2015-04-26,16,16
2015-05-03,16,24
2015-05-10,16,32
2015-05-17,16,32
2015-05-24,16,16
2015-05-31,16,16
2015-06-07,0,16
2015-06-14,0,16
2015-06-21,0,16
2015-06-28,0,16
2015-07-05,0,16
2015-07-12,16,16
2015-07-19,16,16
2015-07-26,16,16
2015-08-02,16,15
2015-08-09,16,15
2015-08-16,16,15
2015-08-23,15,15
2015-08-30,15,15
2015-09-06,15,15
2015-09-13,15,15
2015-09-20,15,18
2015-09-27,15,20
2015-10-04,15,23
2015-10-11,15,15
2015-10-18,15,30
2015-10-25,15,15
2015-11-01,15,30
2015-11-08,19,30
2015-11-15,22,30
2015-11-22,15,15
2015-11-29,15,15
2015-12-06,30,30
2015-12-13,31,15
2015-12-20,17,34
2015-12-27,0,15
2016-01-03,0,15
2016-01-10,0,14
2016-01-17,0,14
2016-01-24,0,14
2016-01-31,0,14
2016-02-07,0,14
2016-02-14,0,14
2016-02-21,14,14
2016-02-28,14,18
2016-03-06,14,23
2016-03-13,14,27
2016-03-20,14,14
2016-03-27,14,14
2016-04-03,14,14
2016-04-10,14,27
2016-04-17,14,14
2016-04-24,14,14
2016-05-01,14,14
2016-05-08,14,16
2016-05-15,14,18
2016-05-22,14,21
2016-05-29,14,14
2016-06-05,14,28
2016-06-12,14,14
2016-06-19,14,14
2016-06-26,14,14
2016-07-03,14,14
2016-07-10,14,17
2016-07-17,14,20
2016-07-24,14,23
2016-07-31,14,25
2016-08-07,14,28
2016-08-14,0,14
2016-08-21,0,14
2016-08-28,0,14
2016-09-04,0,14
2016-09-11,0,14
2016-09-18,27,13
2016-09-25,13,13
2016-10-02,20,13
2016-10-09,26,13
2016-10-16,0,26
2016-10-23,0,13
2016-10-30,0,20
2016-11-06,0,13
2016-11-13,0,19
2016-11-20,0,19
2016-11-27,25,13
2016-12-04,13,13
2016-12-11,13,13
2016-12-18,12,13
2016-12-25,12,28
2017-01-01,12,13
2017-01-08,12,13
2017-01-15,12,0
2017-01-22,0,0
